hmode,h,axis,aoa,mach0,mach1,n_cells,drift,gamma,n_stages,BaryCDI_l2_mean,Linear_l2_mean,FFD_l2_mean,BaryCDI_linf_max,Linear_linf_max,FFD_linf_max,BaryCDI_w2_mean,Linear_w2_mean,FFD_w2_mean,BaryCDI_cd_err_mean,Linear_cd_err_mean,FFD_cd_err_mean,BaryCDI_cl_err_mean,Linear_cl_err_mean,FFD_cl_err_mean,BaryCDI_cl_abs_max,Linear_cl_abs_max,FFD_cl_abs_max,cd_ref_mean,cl_ref_mean,ffd_backfilled,BaryCDI_l2band_mean,Linear_l2band_mean,FFD_l2band_mean,BaryCDI_dbeta_mean,Linear_dbeta_mean,FFD_dbeta_mean,BaryCDI_sharpness,Linear_sharpness,FFD_sharpness,BaryCDI_rh_mean,Linear_rh_mean,FFD_rh_mean,BaryCDI_offline_s,BaryCDI_recon_s,BaryCDI_total_s,FFD_offline_s,FFD_recon_s,FFD_total_s,Linear_recon_s,interp_setup_s,interp_s,ipfp_res,ipfp_res_l2,ipfp_converged,ipfp_iters,ipfp_time_s,gate_T,gate_S,disp_T,den_T_max,path
eig,0.025,mach,0.0,0.8,0.9,14178,SBsquared_exact+ffd,0.0001,12,0.024098000645439016,0.03029539114395383,0.02175141858527878,0.38439810648134,0.3805096864700319,0.49482318043124385,0.03285605547281366,0.03464476252508611,0.04781160720324229,0.0022490452046835456,0.0007900158322713674,0.003049983700766664,0.01049077741535356,0.014028579431983459,0.031371169679611656,1.9154125477369925,1.9117383741970595,1.9076174081045854,0.018998579180271997,1.7354993160921375,,0.03181667543993624,0.05093174285459476,0.03960032364073092,nan,nan,nan,0.30156397248628297,0.3046713039530414,1.2202603223766764,nan,nan,nan,168.42862190400047,0.27910975700069685,168.70773166100116,0.007084030999976676,0.21970949900423875,0.22679353000421543,0.0006439950011554174,0.010959220999211539,0.5104251469965675,9.894458541381823e-08,4.365718871549925e-08,True,1112,168.42862190400047,0,0,0.028779105125178013,55850.60879922715,outputs/Mach_interpolation/bump/iso/hessian/eig/h0.025/M0.80-0.90/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,0.9,1.0,14178,SBsquared_exact+ffd,0.0001,12,0.031209244174965553,0.035745662517829596,0.020847403375466315,0.5013863080762975,0.4044692397117615,0.449806308560712,0.0584687397506795,0.04890256808027317,0.02983435891599935,0.0015961002906204425,0.00039857639530288574,0.0016182606623810884,0.023983556331227247,0.0037646697947414745,0.02595407597382884,1.551982636664317,1.5423804803499392,1.5447416469016724,0.027041769446186872,1.4503216666114114,,0.07574748350198796,0.0671370797485973,0.03781279795946724,nan,nan,nan,0.671919985721814,0.6908389871532612,1.0073416627806338,nan,nan,nan,162.99364447873086,0.4436073945835233,163.43725187331438,0.00735390093177557,0.4003728525713086,0.4077267535030842,0.0006742998957633972,0.021289237774908543,0.8659484824165702,8.261983097668235e-08,2.9829178274060136e-08,True,859,162.99364447873086,0,0,0.25643375665099305,3.5610765594634444e+16,outputs/Mach_interpolation/bump/iso/hessian/eig/h0.025/M0.90-1.00/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.0,1.1,14178,SBsquared_exact+ffd,0.0001,12,0.027910117480100565,0.03700505962621573,0.021824199560647753,0.4282642737551998,0.5451236248016358,0.538814864215196,0.029887034676734474,0.05126256069895143,0.03409727474355621,0.002062012052369538,0.0006946640076017282,0.0007188343284929377,0.002154834458885782,0.00473295693184434,0.014560879445559196,1.3370078786633819,1.3340107180593195,1.3512646308795841,0.025991492717672027,1.2715064258135511,,0.04454068660653613,0.07300496167437066,0.03203033378846705,nan,nan,nan,0.7555052938724263,1.0723491397909035,1.2793581018782996,nan,nan,nan,209.06485767499544,0.2618744740029797,209.32673214899842,0.008317850006278604,0.2208021620172076,0.2291200120234862,0.0006472360109910369,0.010940368985757232,0.494275321951136,9.212199447716785e-08,3.288266189143241e-08,True,1376,209.06485767499544,0,0,0.15885975903047994,535914372241.1966,outputs/Mach_interpolation/bump/iso/hessian/eig/h0.025/M1.00-1.10/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.1,1.2,14178,SBsquared_exact+ffd,0.0001,12,0.025850221035711832,0.03247163597739042,0.017598923386764026,0.48583988610263507,0.5417252540588378,0.44476545245678567,0.052100225010464005,0.04220959235919115,0.021910598701914818,0.00023286973345806834,0.0006373860203771697,0.0014053221541577526,0.0018689265087670462,0.0033407280229947015,0.022010434029856068,1.1716666667661877,1.1710032484060273,1.2099007971019773,0.020776967718327023,1.1097159568883825,,0.05392947788960568,0.08985880232467058,0.03857154445340621,nan,nan,nan,0.6970179782986977,0.8793589894569491,1.0658647790663949,nan,nan,nan,181.40504185296595,0.27032120199874043,181.6753630549647,0.007209892035461962,0.2291621370241046,0.23637202905956656,0.000680388999171555,0.01129249599762261,0.5114584490656853,9.78026690745537e-08,2.4437614083770486e-08,True,1494,181.40504185296595,0,0,0.04932621731407923,16814953494.657953,outputs/Mach_interpolation/bump/iso/hessian/eig/h0.025/M1.10-1.20/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.2,1.3,14178,SBsquared_exact+ffd,0.0001,12,0.020872298293646355,0.02702835586566296,0.012405185718116498,0.3925849795892773,0.47996468544006343,0.41024400760984836,0.029243652178551502,0.01462275045315479,0.007597151118524082,0.001147653642389467,0.00042709013654366714,0.0008800582339647622,0.003672775308839434,0.0023098187172959023,0.012330567913940568,1.0180455263135229,1.0143047021567924,1.0201976698095465,0.022132467191503778,0.9506009514926039,,0.043922845843744646,0.08025081069945174,0.033450349684004156,nan,nan,nan,0.549411191394033,0.9684457555007435,0.7985012444803101,nan,nan,nan,158.57614746499894,0.2614668000023812,158.83761426500132,0.007247341003676411,0.22240509699622635,0.22965243799990276,0.0008137059994623996,0.010926670998742338,0.49561642199842026,9.874760920070003e-08,3.000155711725698e-08,True,1358,158.57614746499894,0,0,0.10331490085882918,39625741.36019142,outputs/Mach_interpolation/bump/iso/hessian/eig/h0.025/M1.20-1.30/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.3,1.4,14178,SBsquared_exact+ffd,0.0001,12,0.017077403017935977,0.022781622390052932,0.01124948417706433,0.3815226557648027,0.49966206550598136,0.3788577170067633,0.026611695760895962,0.019014734471367437,0.013179492622436971,0.0008397851765822437,0.0001627396170270345,0.0007371298764484404,0.003264501244144877,0.00299338169543976,0.003534368640182565,0.8659406823511373,0.8660982042667221,0.868197415421628,0.02068192312900262,0.8195398278460284,,0.025670299541595828,0.06395854199213431,0.024322008451970772,nan,nan,nan,0.6150807480988204,0.6386120701556732,0.928111331756068,nan,nan,nan,165.04467690299498,0.4151371219995781,165.45981402499456,0.007468117000826169,0.37642466300167143,0.3838927800024976,0.0006609689953620546,0.01954386100260308,0.811768959996698,9.34990254108925e-08,2.252445292229128e-08,True,1199,165.04467690299498,0,0,0.12511163396200037,11611.20320453145,outputs/Mach_interpolation/bump/iso/hessian/eig/h0.025/M1.30-1.40/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.4,1.5,14178,SBsquared_exact+ffd,0.0001,12,0.013858724904479832,0.017969684489217045,0.008119608411138271,0.34360541696282576,0.42637851238250724,0.38755014951777644,0.015595970193182028,0.016375269971348125,0.00783666504409412,0.0008770187064105765,8.322467856235656e-05,0.00153384106643401,0.0019451015934535871,0.00038949550910880347,0.006271738089915879,0.7457791535662827,0.7474212849965505,0.7501637607901167,0.016716337289495495,0.7054520635007007,,0.026821712197571325,0.05056556924351167,0.02058232626503189,nan,nan,nan,0.7269449378771331,0.9873981320356424,0.8210007960022236,nan,nan,nan,184.16370930802077,0.4419172899797559,184.60562659800053,0.007879909011535347,0.4022328339633532,0.41011274297488853,0.0006881459848955274,0.021131987974513322,0.8659729349892586,9.973121706252641e-08,3.3854509535745904e-08,True,1908,184.16370930802077,0,0,0.05206559973695979,12574556763.958681,outputs/Mach_interpolation/bump/iso/hessian/eig/h0.025/M1.40-1.50/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.5,1.6,14178,SBsquared_exact+ffd,0.0001,12,0.011837194672618406,0.013629918946952724,0.007007788058198416,0.2716936201555116,0.25256540775299063,0.297835819377928,0.015852541765321613,0.013173333428219261,0.006127572011662319,0.0008606506428301361,2.3147105276507788e-05,0.0009187421166829668,0.0009297297601288883,0.00011084690928418893,0.002907377907272616,0.6475000618436504,0.6482122688001968,0.6521764787630486,0.01446055605864703,0.6151080673116787,,0.023386328109831447,0.03487639240828002,0.02241613388676257,nan,nan,nan,0.7763350416667305,1.0098096283058111,0.9786495142417014,nan,nan,nan,186.68200240109582,0.45985221897717565,187.141854620073,0.006484589073807001,0.42010310699697584,0.42658769607078284,0.0006969099631533027,0.021922945976257324,0.9025770659791306,9.5522477039367e-08,3.3708687568440036e-08,True,2133,186.68200240109582,0,0,0.02919840480903093,180387827.70863593,outputs/Mach_interpolation/bump/iso/hessian/eig/h0.025/M1.50-1.60/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.6,1.7,14178,SBsquared_exact+ffd,0.0001,12,0.007535939592723925,0.009634788045739348,0.0035936623760147914,0.20062224982895138,0.21437619924545293,0.2229253419376951,0.01268391945994389,0.010290482904291652,0.004236674927222791,0.00048135005666814757,1.3032139418354574e-05,0.0006422763080145337,0.0022760459777540795,7.292288365141126e-05,0.003689774956343841,0.5678812515173637,0.5691595332912968,0.5690132332056312,0.012873854992182512,0.5422056239775418,,0.00813180215184745,0.01682274633280276,0.006059428664582473,nan,nan,nan,0.7568792002312758,0.9987104038584945,0.837423945528628,nan,nan,nan,194.57989594700484,0.7922279849954066,195.37212393200025,0.006566497999301646,0.4051821630055201,0.41174866100482177,0.0006777779999538325,0.02103149900358403,1.219122252005036,9.556093516494002e-08,3.153726944124555e-08,True,2736,194.57989594700484,0,0,0.01285899166452783,3858574.6125119566,outputs/Mach_interpolation/bump/iso/hessian/eig/h0.025/M1.60-1.70/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.7,1.8,14178,SBsquared_exact+ffd,0.0001,12,0.00547825704069657,0.007108803915660731,0.0020017354221536347,0.1895599921032911,0.17157201766967778,0.15465559706154353,0.009629540375218272,0.008044049474097993,0.004961228952899796,0.00040599316519560134,7.645217826637118e-06,0.00029246773484297367,0.0014291511244713703,2.9380078527251206e-05,0.001306379580023726,0.5037200194296633,0.5045536064955568,0.5038238965396146,0.011671671695359145,0.48224361762463475,,0.006313875841509512,0.012319256342090835,0.0040741138083200635,nan,nan,nan,0.8348469958608713,0.9654431470661549,0.890977157038519,nan,nan,nan,183.74358506686985,0.26820557191967964,184.01179063878953,0.0073187025263905525,0.2266667727380991,0.23398547526448965,0.0007583508267998695,0.012140088714659214,0.5077734589576721,4.249253358068472e-07,1.6496935710748575e-07,False,2555,183.74358506686985,0,0,0.017196311795629193,872935.867518641,outputs/Mach_interpolation/bump/iso/hessian/eig/h0.025/M1.70-1.80/drift_SBsquared_exact+ffd/gmin0.0001
