axis,interval,lo,hi,mid,width,regime,aoa,h,drift,gamma,method,mean,std,max,ipfp_res,converged
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.025850221035711832,0.00707294562752617,0.03330378636814804,9.78026690745537e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.017598923386764026,0.004792044001729823,0.022937286259245068,9.78026690745537e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.03247163597739042,0.007968137518833386,0.04073685498866725,9.78026690745537e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,ffd,0.0001,BaryCDI,0.025956925374036363,0.007068981942729842,0.033410274355036455,9.780197274267266e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,ffd,0.0001,FFD,0.017598923386764026,0.004792044001729823,0.022937286259245068,9.780197274267266e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,ffd,0.0001,Linear,0.03247163597739042,0.007968137518833386,0.04073685498866725,9.780197274267266e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,null,0.0001,BaryCDI,0.02628648588922948,0.007221961403110665,0.03397919069240081,9.99637421728039e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,null,0.0001,FFD,0.017598923386764026,0.004792044001729823,0.022937286259245068,9.99637421728039e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,null,0.0001,Linear,0.03247163597739042,0.007968137518833386,0.04073685498866725,9.99637421728039e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.020872298293646355,0.00520020551755726,0.026097970499516388,9.874760920070003e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.012405185718116498,0.003126800566521323,0.01596001800967394,9.874760920070003e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.02702835586566296,0.007036070968648823,0.034407901874558174,9.874760920070003e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,ffd,0.0001,BaryCDI,0.02124837386967177,0.0055390548648337114,0.02686082151457142,9.881938467515283e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,ffd,0.0001,FFD,0.012405185718116498,0.003126800566521323,0.01596001800967394,9.881938467515283e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,ffd,0.0001,Linear,0.02702835586566296,0.007036070968648823,0.034407901874558174,9.881938467515283e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,null,0.0001,BaryCDI,0.01984188454102885,0.005144843309317151,0.02505246248662844,9.836813319452631e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,null,0.0001,FFD,0.012405185718116498,0.003126800566521323,0.01596001800967394,9.836813319452631e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,null,0.0001,Linear,0.02702835586566296,0.007036070968648823,0.034407901874558174,9.836813319452631e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.017077403017935977,0.004381831099999411,0.021719054701126967,9.34990254108925e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.01124948417706433,0.0030409602846470036,0.014570321761430968,9.34990254108925e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.022781622390052932,0.006000018608668694,0.029043113133133458,9.34990254108925e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,ffd,0.0001,BaryCDI,0.01732410421666071,0.004443189215448054,0.02205391437980794,9.360672947877902e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,ffd,0.0001,FFD,0.01124948417706433,0.0030409602846470036,0.014570321761430968,9.360672947877902e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,ffd,0.0001,Linear,0.022781622390052932,0.006000018608668694,0.029043113133133458,9.360672947877902e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,null,0.0001,BaryCDI,0.01629499595412379,0.004048249196331939,0.020604138080515096,8.457291755803453e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,null,0.0001,FFD,0.01124948417706433,0.0030409602846470036,0.014570321761430968,8.457291755803453e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,null,0.0001,Linear,0.022781622390052932,0.006000018608668694,0.029043113133133458,8.457291755803453e-08,True
mach,M1.40-1.50,1.4,1.5,1.45,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.013858724904479832,0.004057754906141962,0.018362544173005705,9.973121706252641e-08,True
mach,M1.40-1.50,1.4,1.5,1.45,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.008119608411138271,0.002315928079389592,0.010738855726427276,9.973121706252641e-08,True
mach,M1.40-1.50,1.4,1.5,1.45,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.017969684489217045,0.004957483009683274,0.023146745654890763,9.973121706252641e-08,True
mach,M1.40-1.50,1.4,1.5,1.45,0.1,attached,0.0,0.025,ffd,0.0001,BaryCDI,0.01400453600125167,0.004075307936890215,0.018442227812522995,9.727837380069104e-08,True
