tol,t,variant,steps_to_tol,baseline_steps,speedup,steps_saved,per_step_ms
2.151556115726782e-05,0.8,FFD,125,3515,28.12,3390,0.8905387050721766
2.151556115726782e-05,0.8,Linear,155,3515,22.677419354838708,3360,0.8892710053119885
2.151556115726782e-05,0.8,cold,3515,3515,1.0,0,1.1204106090033423
2.151556115726782e-05,0.9,BaryCDI,60,3430,57.166666666666664,3370,0.885205021879836
2.151556115726782e-05,0.9,FFD,60,3430,57.166666666666664,3370,0.8895035396047564
2.151556115726782e-05,0.9,Linear,10,3430,343.0,3420,0.8894620540618265
2.151556115726782e-05,0.9,cold,3430,3430,1.0,0,1.1255893805120514
2.1002355226241173e-05,0.1,BaryCDI,60,4090,68.16666666666667,4030,0.8934298421385293
2.1002355226241173e-05,0.1,FFD,65,4090,62.92307692307692,4025,0.8929443147093572
2.1002355226241173e-05,0.1,Linear,35,4090,116.85714285714286,4055,0.8924753054288207
2.1002355226241173e-05,0.1,cold,4090,4090,1.0,0,1.1649273516980998
2.1002355226241173e-05,0.2,BaryCDI,150,3985,26.566666666666666,3835,0.8957393858845564
2.1002355226241173e-05,0.2,FFD,100,3985,39.85,3885,0.8937932629190988
2.1002355226241173e-05,0.2,Linear,355,3985,11.225352112676056,3630,0.8943747689921108
2.1002355226241173e-05,0.2,cold,3985,3985,1.0,0,1.1447014248823129
2.1002355226241173e-05,0.3,BaryCDI,205,3895,19.0,3690,0.8895579842212692
2.1002355226241173e-05,0.3,FFD,140,3895,27.821428571428573,3755,0.8911622442012646
2.1002355226241173e-05,0.3,Linear,590,3895,6.601694915254237,3305,0.8878287412212785
2.1002355226241173e-05,0.3,cold,3895,3895,1.0,0,1.1463235469443103
2.1002355226241173e-05,0.4,BaryCDI,225,3805,16.91111111111111,3580,0.8867196907285112
2.1002355226241173e-05,0.4,FFD,160,3805,23.78125,3645,0.8917146773613733
2.1002355226241173e-05,0.4,Linear,680,3805,5.595588235294118,3125,0.8914071933345948
2.1002355226241173e-05,0.4,cold,3805,3805,1.0,0,1.1475942285256973
2.1002355226241173e-05,0.5,BaryCDI,235,3625,15.425531914893616,3390,0.8901626429441865
2.1002355226241173e-05,0.5,FFD,165,3625,21.96969696969697,3460,0.8933370255581541
2.1002355226241173e-05,0.5,Linear,620,3625,5.846774193548387,3005,0.8920246599353192
2.1002355226241173e-05,0.5,cold,3625,3625,1.0,0,1.147097592089421
2.1002355226241173e-05,0.6,BaryCDI,220,3555,16.15909090909091,3335,0.8871387981017766
2.1002355226241173e-05,0.6,FFD,165,3555,21.545454545454547,3390,0.88984437715373
2.1002355226241173e-05,0.6,Linear,595,3555,5.974789915966387,2960,0.8925978372844733
2.1002355226241173e-05,0.6,cold,3555,3555,1.0,0,1.1272488395294218
2.1002355226241173e-05,0.7,BaryCDI,180,3535,19.63888888888889,3355,0.8862151377866058
2.1002355226241173e-05,0.7,FFD,160,3535,22.09375,3375,0.8966419972530028
2.1002355226241173e-05,0.7,Linear,480,3535,7.364583333333333,3055,0.8909830633474856
2.1002355226241173e-05,0.7,cold,3535,3535,1.0,0,1.1264903407518556
2.1002355226241173e-05,0.8,BaryCDI,155,3550,22.903225806451612,3395,0.8840403940357099
2.1002355226241173e-05,0.8,FFD,140,3550,25.357142857142858,3410,0.8905387050721766
2.1002355226241173e-05,0.8,Linear,180,3550,19.72222222222222,3370,0.8892710053119885
2.1002355226241173e-05,0.8,cold,3550,3550,1.0,0,1.1204106090033423
2.1002355226241173e-05,0.9,BaryCDI,60,3455,57.583333333333336,3395,0.885205021879836
2.1002355226241173e-05,0.9,FFD,60,3455,57.583333333333336,3395,0.8895035396047564
2.1002355226241173e-05,0.9,Linear,10,3455,345.5,3445,0.8894620540618265
2.1002355226241173e-05,0.9,cold,3455,3455,1.0,0,1.1255893805120514
2.0501390683004356e-05,0.1,BaryCDI,65,4100,63.07692307692308,4035,0.8934298421385293
2.0501390683004356e-05,0.1,FFD,70,4100,58.57142857142857,4030,0.8929443147093572
2.0501390683004356e-05,0.1,Linear,40,4100,102.5,4060,0.8924753054288207
2.0501390683004356e-05,0.1,cold,4100,4100,1.0,0,1.1649273516980998
