tol,t,variant,steps_to_tol,baseline_steps,speedup,steps_saved,per_step_ms
1.8624299096363714e-05,0.8,Linear,325,3675,11.307692307692308,3350,0.8842466781975828
1.8624299096363714e-05,0.8,cold,3675,3675,1.0,0,1.118582566592514
1.8624299096363714e-05,0.9,BaryCDI,100,3575,35.75,3475,0.8824415284238389
1.8624299096363714e-05,0.9,FFD,75,3575,47.666666666666664,3500,0.8856123416565437
1.8624299096363714e-05,0.9,Linear,50,3575,71.5,3525,0.8844619710260366
1.8624299096363714e-05,0.9,cold,3575,3575,1.0,0,1.115713907791332
1.819340097743376e-05,0.1,BaryCDI,100,4300,43.0,4200,0.8894742209622555
1.819340097743376e-05,0.1,FFD,100,4300,43.0,4200,0.8897029984264908
1.819340097743376e-05,0.1,Linear,75,4300,57.333333333333336,4225,0.889752309633261
1.819340097743376e-05,0.1,cold,4300,4300,1.0,0,1.1462991698910234
1.819340097743376e-05,0.2,BaryCDI,200,4225,21.125,4025,0.8901369304839962
1.819340097743376e-05,0.2,FFD,150,4225,28.166666666666668,4075,0.8890807438027428
1.819340097743376e-05,0.2,Linear,500,4225,8.45,3725,0.8885934506447253
1.819340097743376e-05,0.2,cold,4225,4225,1.0,0,1.140096755047376
1.819340097743376e-05,0.3,BaryCDI,300,4075,13.583333333333334,3775,0.8863925204072705
1.819340097743376e-05,0.3,FFD,175,4075,23.285714285714285,3900,0.888023760235477
1.819340097743376e-05,0.3,Linear,750,4075,5.433333333333334,3325,0.888768142189188
1.819340097743376e-05,0.3,cold,4075,4075,1.0,0,1.1361538612632216
1.819340097743376e-05,0.4,BaryCDI,325,3950,12.153846153846153,3625,0.8876178376941818
1.819340097743376e-05,0.4,FFD,200,3950,19.75,3750,0.8865364187411688
1.819340097743376e-05,0.4,Linear,850,3950,4.647058823529412,3100,0.8870332245923603
1.819340097743376e-05,0.4,cold,3950,3950,1.0,0,1.1336746533965592
1.819340097743376e-05,0.5,BaryCDI,325,3850,11.846153846153847,3525,0.8856468065564441
1.819340097743376e-05,0.5,FFD,200,3850,19.25,3650,0.8862714198621103
1.819340097743376e-05,0.5,Linear,800,3850,4.8125,3050,0.8856319809827392
1.819340097743376e-05,0.5,cold,3850,3850,1.0,0,1.1289352217149293
1.819340097743376e-05,0.6,BaryCDI,300,3750,12.5,3450,0.8842028594586503
1.819340097743376e-05,0.6,FFD,200,3750,18.75,3550,0.886777171577124
1.819340097743376e-05,0.6,Linear,725,3750,5.172413793103448,3025,0.8869842382261462
1.819340097743376e-05,0.6,cold,3750,3750,1.0,0,1.1248504271576751
1.819340097743376e-05,0.7,BaryCDI,250,3725,14.9,3475,0.8843524318163086
1.819340097743376e-05,0.7,FFD,200,3725,18.625,3525,0.8864962122067302
1.819340097743376e-05,0.7,Linear,625,3725,5.96,3100,0.8862126238492071
1.819340097743376e-05,0.7,cold,3725,3725,1.0,0,1.1208863688164017
1.819340097743376e-05,0.8,BaryCDI,200,3700,18.5,3500,0.8840693290087838
1.819340097743376e-05,0.8,FFD,175,3700,21.142857142857142,3525,0.8860442658993638
1.819340097743376e-05,0.8,Linear,350,3700,10.571428571428571,3350,0.8842466781975828
1.819340097743376e-05,0.8,cold,3700,3700,1.0,0,1.118582566592514
1.819340097743376e-05,0.9,BaryCDI,100,3600,36.0,3500,0.8824415284238389
1.819340097743376e-05,0.9,FFD,100,3600,36.0,3500,0.8856123416565437
1.819340097743376e-05,0.9,Linear,50,3600,72.0,3550,0.8844619710260366
1.819340097743376e-05,0.9,cold,3600,3600,1.0,0,1.115713907791332
1.777247226395293e-05,0.1,BaryCDI,100,4325,43.25,4225,0.8894742209622555
1.777247226395293e-05,0.1,FFD,100,4325,43.25,4225,0.8897029984264908
1.777247226395293e-05,0.1,Linear,75,4325,57.666666666666664,4250,0.889752309633261
1.777247226395293e-05,0.1,cold,4325,4325,1.0,0,1.1462991698910234
1.777247226395293e-05,0.2,BaryCDI,200,4275,21.375,4075,0.8901369304839962
1.777247226395293e-05,0.2,FFD,150,4275,28.5,4125,0.8890807438027428
1.777247226395293e-05,0.2,Linear,525,4275,8.142857142857142,3750,0.8885934506447253
1.777247226395293e-05,0.2,cold,4275,4275,1.0,0,1.140096755047376
1.777247226395293e-05,0.3,BaryCDI,325,4100,12.615384615384615,3775,0.8863925204072705
1.777247226395293e-05,0.3,FFD,175,4100,23.428571428571427,3925,0.888023760235477
1.777247226395293e-05,0.3,Linear,825,4100,4.96969696969697,3275,0.888768142189188
1.777247226395293e-05,0.3,cold,4100,4100,1.0,0,1.1361538612632216
1.777247226395293e-05,0.4,BaryCDI,350,4050,11.571428571428571,3700,0.8876178376941818
1.777247226395293e-05,0.4,FFD,200,4050,20.25,3850,0.8865364187411688
1.777247226395293e-05,0.4,Linear,875,4050,4.628571428571429,3175,0.8870332245923603
1.777247226395293e-05,0.4,cold,4050,4050,1.0,0,1.1336746533965592
1.777247226395293e-05,0.5,BaryCDI,325,3875,11.923076923076923,3550,0.8856468065564441
1.777247226395293e-05,0.5,FFD,225,3875,17.22222222222222,3650,0.8862714198621103
1.777247226395293e-05,0.5,Linear,825,3875,4.696969696969697,3050,0.8856319809827392
1.777247226395293e-05,0.5,cold,3875,3875,1.0,0,1.1289352217149293
1.777247226395293e-05,0.6,BaryCDI,325,3800,11.692307692307692,3475,0.8842028594586503
1.777247226395293e-05,0.6,FFD,225,3800,16.88888888888889,3575,0.886777171577124
1.777247226395293e-05,0.6,Linear,750,3800,5.066666666666666,3050,0.8869842382261462
1.777247226395293e-05,0.6,cold,3800,3800,1.0,0,1.1248504271576751
1.777247226395293e-05,0.7,BaryCDI,250,3725,14.9,3475,0.8843524318163086
1.777247226395293e-05,0.7,FFD,200,3725,18.625,3525,0.8864962122067302
1.777247226395293e-05,0.7,Linear,675,3725,5.518518518518518,3050,0.8862126238492071
1.777247226395293e-05,0.7,cold,3725,3725,1.0,0,1.1208863688164017
1.777247226395293e-05,0.8,BaryCDI,200,3700,18.5,3500,0.8840693290087838
1.777247226395293e-05,0.8,FFD,175,3700,21.142857142857142,3525,0.8860442658993638
1.777247226395293e-05,0.8,Linear,375,3700,9.866666666666667,3325,0.8842466781975828
1.777247226395293e-05,0.8,cold,3700,3700,1.0,0,1.118582566592514
1.777247226395293e-05,0.9,BaryCDI,100,3625,36.25,3525,0.8824415284238389
1.777247226395293e-05,0.9,FFD,100,3625,36.25,3525,0.8856123416565437
1.777247226395293e-05,0.9,Linear,50,3625,72.5,3575,0.8844619710260366
1.777247226395293e-05,0.9,cold,3625,3625,1.0,0,1.115713907791332
1.7361282300365666e-05,0.1,BaryCDI,125,4325,34.6,4200,0.8894742209622555
1.7361282300365666e-05,0.1,FFD,100,4325,43.25,4225,0.8897029984264908
1.7361282300365666e-05,0.1,Linear,100,4325,43.25,4225,0.889752309633261
1.7361282300365666e-05,0.1,cold,4325,4325,1.0,0,1.1462991698910234
1.7361282300365666e-05,0.2,BaryCDI,225,4275,19.0,4050,0.8901369304839962
1.7361282300365666e-05,0.2,FFD,150,4275,28.5,4125,0.8890807438027428
1.7361282300365666e-05,0.2,Linear,550,4275,7.7727272727272725,3725,0.8885934506447253
1.7361282300365666e-05,0.2,cold,4275,4275,1.0,0,1.140096755047376
1.7361282300365666e-05,0.3,BaryCDI,350,4200,12.0,3850,0.8863925204072705
1.7361282300365666e-05,0.3,FFD,175,4200,24.0,4025,0.888023760235477
1.7361282300365666e-05,0.3,Linear,825,4200,5.090909090909091,3375,0.888768142189188
1.7361282300365666e-05,0.3,cold,4200,4200,1.0,0,1.1361538612632216
1.7361282300365666e-05,0.4,BaryCDI,375,4050,10.8,3675,0.8876178376941818
1.7361282300365666e-05,0.4,FFD,225,4050,18.0,3825,0.8865364187411688
1.7361282300365666e-05,0.4,Linear,900,4050,4.5,3150,0.8870332245923603
1.7361282300365666e-05,0.4,cold,4050,4050,1.0,0,1.1336746533965592
1.7361282300365666e-05,0.5,BaryCDI,350,3900,11.142857142857142,3550,0.8856468065564441
1.7361282300365666e-05,0.5,FFD,225,3900,17.333333333333332,3675,0.8862714198621103
1.7361282300365666e-05,0.5,Linear,850,3900,4.588235294117647,3050,0.8856319809827392
1.7361282300365666e-05,0.5,cold,3900,3900,1.0,0,1.1289352217149293
1.7361282300365666e-05,0.6,BaryCDI,325,3800,11.692307692307692,3475,0.8842028594586503
1.7361282300365666e-05,0.6,FFD,225,3800,16.88888888888889,3575,0.886777171577124
1.7361282300365666e-05,0.6,Linear,800,3800,4.75,3000,0.8869842382261462
1.7361282300365666e-05,0.6,cold,3800,3800,1.0,0,1.1248504271576751
1.7361282300365666e-05,0.7,BaryCDI,275,3775,13.727272727272727,3500,0.8843524318163086
1.7361282300365666e-05,0.7,FFD,200,3775,18.875,3575,0.8864962122067302
1.7361282300365666e-05,0.7,Linear,675,3775,5.592592592592593,3100,0.8862126238492071
1.7361282300365666e-05,0.7,cold,3775,3775,1.0,0,1.1208863688164017
