t,mach,variant,repeat,dt,n_steps_total,tol,steps_to_tol,speedup,per_step_ms,per_step_ms_raw,time_to_tol_s,wall_time_s,rel_min,cd,cl,deltaS,init_repair_count,init_rho_min,init_p_min,tag
0.1,2.05,BaryCDI,0,0.0003709979937411845,10782,3.3623330637055915e-05,25,122.4,0.8924753054288207,0.8934298421385293,0.02231188263572052,9.632960557937622,1.0903527254413348e-05,0.016465382650494576,0.00046413313248194754,0.03607553988695145,0,0.7953160067726521,0.7437594814052665,ws_oblique_t0.10_BaryCDI
0.1,2.05,FFD,0,0.0003709979937411845,10782,3.3623330637055915e-05,30,102.0,0.8924753054288207,0.8929443147093572,0.02677425916286462,9.627725601196289,1.0528155144129414e-05,0.01646452210843563,0.0004740613221656531,0.03611816093325615,0,0.7920222289742526,0.741811736728442,ws_oblique_t0.10_FFD
0.1,2.05,Linear,0,0.0003709979937411845,10782,3.3623330637055915e-05,5,612.0,0.8924753054288207,0.8924753054288207,0.004462376527144103,9.622668743133545,1.0737368029367644e-05,0.016467079520225525,0.00043697748333215714,0.036133117973804474,0,0.787239009141922,0.7357772946357726,ws_oblique_t0.10_Linear
0.1,2.05,cold,0,0.0003709979937411845,10782,3.3623330637055915e-05,3060,1.0,0.8924753054288207,1.1649273516980998,2.7309744346121914,12.560246706008911,1.0797474715218414e-05,0.016464848071336746,0.0004795345012098551,0.03610323369503021,,,,ws_oblique_t0.10_cold
0.2,2.1,BaryCDI,0,0.0003654708561953157,10945,3.3623330637055915e-05,45,67.11111111111111,0.8937932629190988,0.8957393858845564,0.04022069683135945,9.80386757850647,1.062100454873871e-05,0.015926435589790344,0.00048018957022577524,0.03684837743639946,0,0.7933312387288924,0.7399021950227361,ws_oblique_t0.20_BaryCDI
0.2,2.1,FFD,0,0.0003654708561953157,10945,3.3623330637055915e-05,40,75.5,0.8937932629190988,0.8937932629190988,0.03575173051676395,9.782567262649536,1.2047597920172848e-05,0.015926795080304146,0.0004914631717838347,0.036960773169994354,0,0.7927910666800605,0.7398073148360688,ws_oblique_t0.20_FFD
0.2,2.1,Linear,0,0.0003654708561953157,10945,3.3623330637055915e-05,30,100.66666666666667,0.8937932629190988,0.8943747689921108,0.026813797887572963,9.788931846618652,1.0593586011964362e-05,0.015925804153084755,0.0004682377621065825,0.036902494728565216,0,0.7842978119850159,0.7332667231559752,ws_oblique_t0.20_Linear
0.2,2.1,cold,0,0.0003654708561953157,10945,3.3623330637055915e-05,3020,1.0,0.8937932629190988,1.1447014248823129,2.6992556540156785,12.528757095336914,1.1207776879018638e-05,0.015925930812954903,0.00046890389057807624,0.03708774596452713,,,,ws_oblique_t0.20_cold
0.3,2.15,BaryCDI,0,0.0003601067583076656,11108,3.3623330637055915e-05,60,50.25,0.8878287412212785,0.8895579842212692,0.05326972447327671,9.881210088729858,1.0227073289570399e-05,0.015426098369061947,0.0004974107723683119,0.037959519773721695,0,0.7904505116360627,0.7359192412857578,ws_oblique_t0.30_BaryCDI
0.3,2.15,FFD,0,0.0003601067583076656,11108,3.3623330637055915e-05,50,60.3,0.8878287412212785,0.8911622442012646,0.044391437061063924,9.899030208587646,1.0898927939706482e-05,0.015423351898789406,0.00046007896889932454,0.03806567192077637,0,0.7897415341708911,0.7358666825008798,ws_oblique_t0.30_FFD
0.3,2.15,Linear,0,0.0003601067583076656,11108,3.3623330637055915e-05,65,46.38461538461539,0.8878287412212785,0.8878287412212785,0.0577088681793831,9.862001657485962,1.0519607712922152e-05,0.015423640608787537,0.0004680159909185022,0.03803319111466408,0,0.7813566148281097,0.730756151676178,ws_oblique_t0.30_Linear
0.3,2.15,cold,0,0.0003601067583076656,11108,3.3623330637055915e-05,3015,1.0,0.8878287412212785,1.1463235469443103,2.6768036547821548,12.733361959457397,1.0716913493524771e-05,0.015424864366650581,0.00047686940524727106,0.03823061287403107,,,,ws_oblique_t0.30_cold
0.4,2.2,BaryCDI,0,0.00035489851143211126,11271,3.3623330637055915e-05,75,39.333333333333336,0.8867196907285112,0.8867196907285112,0.06650397680463835,9.99421763420105,1.0436438060423825e-05,0.01495546754449606,0.00048895861255005,0.03918742761015892,0,0.7874461570997804,0.731956220124668,ws_oblique_t0.40_BaryCDI
0.4,2.2,FFD,0,0.00035489851143211126,11271,3.3623330637055915e-05,55,53.63636363636363,0.8867196907285112,0.8917146773613733,0.04876958299006812,10.050516128540039,9.432545084564481e-06,0.014953330159187317,0.0004634401702787727,0.039193592965602875,0,0.7866359009946391,0.7318406571891085,ws_oblique_t0.40_FFD
0.4,2.2,Linear,0,0.00035489851143211126,11271,3.3623330637055915e-05,135,21.85185185185185,0.8867196907285112,0.8914071933345948,0.11970715824834902,10.047050476074219,1.0140143785974942e-05,0.014953624457120895,0.0004713107773568481,0.039087146520614624,0,0.7784154176712036,0.7282455801963812,ws_oblique_t0.40_Linear
0.4,2.2,cold,0,0.00035489851143211126,11271,3.3623330637055915e-05,2950,1.0,0.8867196907285112,1.1475942285256973,2.6158230876491078,12.934534549713135,1.0177482181461528e-05,0.014959277585148811,0.0005393995670601726,0.03932267427444458,,,,ws_oblique_t0.40_cold
0.5,2.25,BaryCDI,0,0.00034983950899913907,11434,3.3623330637055915e-05,75,38.6,0.8901626429441865,0.8901626429441865,0.06676219822081399,10.178119659423828,7.075521807564655e-06,0.01451317872852087,0.0004629630711860955,0.04030800238251686,0,0.7836166327936216,0.7279654736537555,ws_oblique_t0.50_BaryCDI
0.5,2.25,FFD,0,0.00034983950899913907,11434,3.3623330637055915e-05,60,48.25,0.8901626429441865,0.8933370255581541,0.05340975857665119,10.214415550231934,6.559430858033011e-06,0.014517302624881268,0.0005117884138599038,0.04049285128712654,0,0.7829659897473193,0.7278857199757269,ws_oblique_t0.50_FFD
0.5,2.25,Linear,0,0.00034983950899913907,11434,3.3623330637055915e-05,155,18.677419354838708,0.8901626429441865,0.8920246599353192,0.1379752096563489,10.19940996170044,7.0011024035920855e-06,0.014511247165501118,0.00043445374467410147,0.04031835496425629,0,0.7754742205142975,0.7257350087165835,ws_oblique_t0.50_Linear
0.5,2.25,cold,0,0.00034983950899913907,11434,3.3623330637055915e-05,2895,1.0,0.8901626429441865,1.147097592089421,2.57702085132342,13.11591386795044,6.782772743463283e-06,0.014518425799906254,0.0005319761694408953,0.040548890829086304,,,,ws_oblique_t0.50_cold
