t,mach,variant,repeat,dt,n_steps_total,tol,steps_to_tol,speedup,per_step_ms,per_step_ms_raw,time_to_tol_s,wall_time_s,rel_min,cd,cl,deltaS,init_repair_count,init_rho_min,init_p_min,tag
0.1,2.05,BaryCDI,0,0.0003709979937411845,10782,3.3623330637055915e-05,30,102.0,0.8909448005564468,0.8925178280524168,0.0267283440166934,9.623127222061157,1.1026798347302247e-05,0.01646685041487217,0.00043941393960267305,0.036061037331819534,0,0.7908034576765735,0.7402189635953745,ws_ffd_t0.10_BaryCDI
0.1,2.05,FFD,0,0.0003709979937411845,10782,3.3623330637055915e-05,30,102.0,0.8909448005564468,0.8931996273521235,0.0267283440166934,9.630478382110596,1.0528155144129414e-05,0.01646452210843563,0.0004740613221656531,0.03611816093325615,0,0.7920222289742526,0.741811736728442,ws_ffd_t0.10_FFD
0.1,2.05,Linear,0,0.0003709979937411845,10782,3.3623330637055915e-05,5,612.0,0.8909448005564468,0.8909448005564468,0.004454724002782234,9.60616683959961,1.0737368029367644e-05,0.016467079520225525,0.00043697748333215714,0.036133117973804474,0,0.787239009141922,0.7357772946357726,ws_ffd_t0.10_Linear
0.1,2.05,cold,0,0.0003709979937411845,10782,3.3623330637055915e-05,3060,1.0,0.8909448005564468,1.1498374148216524,2.7262910897027273,12.397547006607056,1.0797474715218414e-05,0.016464848071336746,0.0004795345012098551,0.03610323369503021,,,,ws_ffd_t0.10_cold
0.2,2.1,BaryCDI,0,0.0003654708561953157,10945,3.3623330637055915e-05,50,60.4,0.8890720740362301,0.8919709564181102,0.0444536037018115,9.762622117996216,1.0889760233112611e-05,0.01592743583023548,0.00048806736594997346,0.03685528784990311,0,0.790635203609312,0.7398185287279929,ws_ffd_t0.20_BaryCDI
0.2,2.1,FFD,0,0.0003654708561953157,10945,3.3623330637055915e-05,40,75.5,0.8890720740362301,0.8890720740362301,0.0355628829614492,9.730893850326538,1.2047597920172848e-05,0.015926795080304146,0.0004914631717838347,0.036960773169994354,0,0.7927910666800605,0.7398073148360688,ws_ffd_t0.20_FFD
0.2,2.1,Linear,0,0.0003654708561953157,10945,3.3623330637055915e-05,30,100.66666666666667,0.8890720740362301,0.890860768854482,0.026672162221086905,9.750471115112305,1.0593586011964362e-05,0.015925804153084755,0.0004682377621065825,0.036902494728565216,0,0.7842978119850159,0.7332667231559752,ws_ffd_t0.20_Linear
0.2,2.1,cold,0,0.0003654708561953157,10945,3.3623330637055915e-05,3020,1.0,0.8890720740362301,1.1462934162040561,2.684997663589415,12.546181440353394,1.1207776879018638e-05,0.015925930812954903,0.00046890389057807624,0.03708774596452713,,,,ws_ffd_t0.20_cold
0.3,2.15,BaryCDI,0,0.0003601067583076656,11108,3.3623330637055915e-05,65,46.38461538461539,0.8881951048084845,0.8888531598333923,0.05773268181255149,9.873380899429321,1.0720466889324598e-05,0.015426024794578552,0.0004985298146493733,0.0379849411547184,0,0.7896743905070894,0.7358205922920552,ws_ffd_t0.30_BaryCDI
0.3,2.15,FFD,0,0.0003601067583076656,11108,3.3623330637055915e-05,50,60.3,0.8881951048084845,0.8889912142356953,0.044409755240424224,9.874914407730103,1.0898927939706482e-05,0.015423351898789406,0.00046007896889932454,0.03806567192077637,0,0.7897415341708911,0.7358666825008798,ws_ffd_t0.30_FFD
