hmode,h,axis,aoa,n_cells,drift,gamma,n_stages,BaryCDI_l2_mean,Linear_l2_mean,FFD_l2_mean,BaryCDI_linf_max,Linear_linf_max,FFD_linf_max,BaryCDI_w2_mean,Linear_w2_mean,FFD_w2_mean,BaryCDI_cd_err_mean,Linear_cd_err_mean,FFD_cd_err_mean,BaryCDI_cl_err_mean,Linear_cl_err_mean,FFD_cl_err_mean,BaryCDI_cl_abs_max,Linear_cl_abs_max,FFD_cl_abs_max,cd_ref_mean,cl_ref_mean,ffd_backfilled,BaryCDI_l2band_mean,Linear_l2band_mean,FFD_l2band_mean,BaryCDI_dbeta_mean,Linear_dbeta_mean,FFD_dbeta_mean,BaryCDI_sharpness,Linear_sharpness,FFD_sharpness,BaryCDI_rh_mean,Linear_rh_mean,FFD_rh_mean,BaryCDI_offline_s,BaryCDI_recon_s,BaryCDI_total_s,FFD_offline_s,FFD_recon_s,FFD_total_s,Linear_recon_s,interp_setup_s,interp_s,ipfp_res,ipfp_res_l2,ipfp_converged,ipfp_iters,ipfp_time_s,gate_T,gate_S,disp_T,den_T_max,path
det,0.025,mach,0.0,20190,ffd,1e-06,18,0.004364063171402875,0.008375427552293764,0.0020305250872881546,0.12493766672739515,0.12418022155761754,0.12133426887812693,0.023949826157834565,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,207.00236550701084,0.22887028200784698,207.23123578901868,25.82916494301753,0.1756276749947574,26.00479261801229,0.0008469479798804969,0.0010767749918159097,0.40642442399985157,8.622759537502134e-06,nan,False,8210,207.00236550701084,1198,1693,0.006227853337323336,3.8835192571187798e+177,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin1e-06
det,0.025,mach,0.0,20190,ffd,2e-06,17,0.004255336136156239,0.008375427552293764,0.0020305250872881546,0.12213974176976361,0.12418022155761754,0.12133426887812693,0.024173468495564822,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.78202794492245,0.2603871561586857,201.04241510108113,26.853749480098486,0.2086133030243218,27.062362783122808,0.0010514031164348125,0.0010805563069880009,0.4711364032700658,3.5610415238807036e-06,nan,False,7210,200.78202794492245,1359,1327,0.006126825498363973,5.239844372084954e+186,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin2e-06
det,0.025,mach,0.0,20190,ffd,5e-06,16,0.004086314859636329,0.008375427552293764,0.0020305250872881546,0.11674552637518953,0.12418022155761754,0.12133426887812693,0.02515336287175153,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,179.21054167998955,0.27368105482310057,179.48422273481265,26.410262984223664,0.17626006295904517,26.58652304718271,0.0008803983218967915,0.001087138894945383,0.4519114992581308,1.9098774828307796e-07,nan,False,6210,179.21054167998955,1467,1298,0.005911588949574991,1.5694537423898016e+188,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin5e-06
det,0.025,mach,0.0,20190,ffd,1e-05,15,0.003952141874991146,0.008375427552293764,0.0020305250872881546,0.11254177894577122,0.12418022155761754,0.12133426887812693,0.02624675903384285,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,164.18109864500002,0.2746131780149881,164.455711823015,25.677687132003484,0.17658490501344204,25.854272037016926,0.0008436520001851022,0.0011280920007266104,0.4531750050082337,9.839197900873842e-08,nan,True,5210,164.18109864500002,1439,1278,0.005671307163139589,4.345672581824457e+174,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin1e-05
det,0.025,mach,0.0,20190,ffd,2e-05,14,0.0038626314217200075,0.008375427552293764,0.0020305250872881546,0.10852322179060092,0.12418022155761754,0.12133426887812693,0.02750993917686836,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,156.7820545649156,0.27889379020780325,157.0609483551234,28.749216394964606,0.17676585307344794,28.925982248038054,0.0008932370692491531,0.0010787369683384895,0.45763458078727126,2.435494366181956e-07,nan,False,4276,156.7820545649156,1417,1243,0.005353897784390218,3.006066763521601e+160,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin2e-05
det,0.025,mach,0.0,20190,ffd,5e-05,13,0.003730591933843345,0.008375427552293764,0.0020305250872881546,0.10255220099139217,0.12418022155761754,0.12133426887812693,0.02803922831480972,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,138.94171692617238,0.22908264212310314,139.17079956829548,26.356134854257107,0.1759841237217188,26.532118977978826,0.0008904538117349148,0.0010854369029402733,0.4070459119975567,9.625102848076494e-08,nan,True,3276,138.94171692617238,1401,1200,0.004833058023073066,6.921913781580778e+139,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin5e-05
det,0.025,mach,0.0,20190,ffd,0.0001,12,0.0036756689046668683,0.008375427552293764,0.0020305250872881546,0.09957253300912194,0.12418022155761754,0.12133426887812693,0.028343892850477764,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,132.39573421500972,0.27658022299874574,132.67231443800847,25.62207785100327,0.17662644598749466,25.798704296990763,0.0008513240027241409,0.0011254269920755178,0.45518786701723,9.491273544881551e-08,nan,True,2823,132.39573421500972,1329,1083,0.004453282573346747,3.598219641754004e+122,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin0.0001
det,0.025,mach,0.0,20190,ffd,0.0002,11,0.0036480004365154273,0.008375427552293764,0.0020305250872881546,0.09692955481199261,0.12418022155761754,0.12133426887812693,0.028770697661752442,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.95092150615528,0.2994692507199943,123.25039075687528,28.597174679860473,0.211118770763278,28.80829345062375,0.001022872980684042,0.0011007101275026798,0.5127146802842617,9.746369755703199e-08,nan,True,2030,122.95092150615528,1170,947,0.004293810481259643,6.061695584053491e+103,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin0.0002
det,0.025,mach,0.0,20190,ffd,0.0005,10,0.003692867015235687,0.008375427552293764,0.0020305250872881546,0.11306845169109536,0.12418022155761754,0.12133426887812693,0.029673177722720965,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,112.99799937941134,0.26288759196177125,113.26088697137311,26.48298309929669,0.17514260299503803,26.658125702291727,0.0008809682913124561,0.0010889018885791302,0.4400033000856638,9.861670946520462e-08,nan,True,1426,112.99799937941134,860,634,0.005041169073156623,4.0775968790336487e+77,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin0.0005
det,0.025,mach,0.0,20190,ffd,0.001,9,0.003832021529523307,0.008375427552293764,0.0020305250872881546,0.12568200046087252,0.12418022155761754,0.12133426887812693,0.030608404168422587,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107.12135721699451,0.27116079899133183,107.39251801598584,25.594695834006416,0.1751509409805294,25.769846774986945,0.0008312640129588544,0.001081060996511951,0.44822675798786804,9.700568170956103e-08,nan,True,971,107.12135721699451,488,331,0.007069067515470768,9.30723310393341e+57,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin0.001
