hmode,drift,gamma,n_stages,BaryCDI_l2_mean,Linear_l2_mean,FFD_l2_mean,BaryCDI_linf_max,Linear_linf_max,FFD_linf_max,BaryCDI_w2_mean,Linear_w2_mean,FFD_w2_mean,BaryCDI_offline_s,BaryCDI_recon_s,BaryCDI_total_s,FFD_offline_s,FFD_recon_s,FFD_total_s,Linear_recon_s,interp_setup_s,interp_s,ipfp_res,ipfp_converged,ipfp_iters,ipfp_time_s,gate_T,gate_S,disp_T,den_T_max,path
eig,ffd,1e-06,18,0.0032894130020488885,0.008375427552293764,0.0022568151728812784,0.1023034313598199,0.12418022155761754,0.10146390715689924,0.023833107971792722,0.04863431468896161,0.024668115532576737,190.43842765688896,0.2749326000921428,190.7133602569811,28.069670028984547,0.17610632628202438,28.24577635526657,0.0008497722446918488,0.0010909447446465492,0.4529826366342604,0.00033006751982611604,False,7708,190.43842765688896,4721,4675,0.004597047328136827,1.0222335799730073e+252,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin1e-06
eig,ffd,2e-06,17,0.0032635761378179526,0.008375427552293764,0.0022568151728812784,0.10199232269094871,0.12418022155761754,0.10146390715689924,0.023819398722712784,0.04863431468896161,0.024668115532576737,178.59939167601988,0.2752136420458555,178.87460531806573,28.581059494055808,0.17490196879953146,28.75596146285534,0.0008923960849642754,0.0010836138390004635,0.4520939430221915,0.00013223944529272558,False,6708,178.59939167601988,4799,4639,0.004550048943547869,7.371888752882718e+254,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin2e-06
eig,ffd,5e-06,16,0.0032325205814836915,0.008375427552293764,0.0022568151728812784,0.10143106475172292,0.12418022155761754,0.10146390715689924,0.023844169912606236,0.04863431468896161,0.024668115532576737,162.0018307440041,0.2791942080075387,162.28102495201165,27.54417839300004,0.17508259997703135,27.71926099297707,0.0008345389796886593,0.001080829999409616,0.4561949709895998,1.1903994447948207e-05,False,5708,162.0018307440041,5113,4797,0.004414140406763856,3.1917533158508902e+258,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin5e-06
eig,ffd,1e-05,15,0.00321202955387201,0.008375427552293764,0.0022568151728812784,0.10083569369402223,0.12418022155761754,0.10146390715689924,0.023874093703202575,0.04863431468896161,0.024668115532576737,149.64205544721335,0.2789203408174217,149.92097578803077,28.174731835722923,0.17593593383207917,28.350667769555002,0.0008759922347962856,0.0010875808075070381,0.45682350313290954,6.842338962087524e-08,True,4708,149.64205544721335,5182,4744,0.004233803692409047,8.106639302967145e+242,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin1e-05
eig,ffd,2e-05,14,0.003194917879742024,0.008375427552293764,0.0022568151728812784,0.09990028486736335,0.12418022155761754,0.10146390715689924,0.023933551742818093,0.04863431468896161,0.024668115532576737,140.5881822523661,0.26047546742483974,140.84865771979094,28.66076564695686,0.2092601009644568,28.870025747921318,0.0010335389524698257,0.0010894029401242733,0.4718616739846766,9.77126930479244e-08,True,3804,140.5881822523661,5119,4602,0.004009168170132193,1.8100941186374563e+224,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin2e-05
eig,ffd,5e-05,13,0.0031811750505774065,0.008375427552293764,0.0022568151728812784,0.09777749685716497,0.12418022155761754,0.10146390715689924,0.02409510101341621,0.04863431468896161,0.024668115532576737,129.29774142001406,0.2270179070183076,129.52475932703237,27.624015266017523,0.17512529200757854,27.7991405580251,0.0008591749938204885,0.0010795370035339147,0.4040844840055797,9.652308108343277e-08,True,3077,129.29774142001406,5213,4440,0.0038693479751038184,8.796154781318886e+198,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin5e-05
eig,ffd,0.0001,12,0.003181945200546611,0.008375427552293764,0.0022568151728812784,0.09780447536741521,0.12418022155761754,0.10146390715689924,0.024283178026056878,0.04863431468896161,0.024668115532576737,117.97623022692278,0.22616461711004376,118.20239484403282,27.862191077321768,0.1757347290404141,28.037925806362182,0.0008946489542722702,0.0010780058801174164,0.4038790208287537,8.325778821927088e-08,True,2146,117.97623022692278,5700,4392,0.004167551691918345,5.80418319091715e+178,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin0.0001
eig,ffd,0.0002,11,0.0031995748598927605,0.008375427552293764,0.0022568151728812784,0.09676968440537248,0.12418022155761754,0.10146390715689924,0.024548979797139308,0.04863431468896161,0.024668115532576737,112.87011978402734,0.25982908392325044,113.12994886795059,28.493681808933616,0.20914647402241826,28.702828282956034,0.0010465281084179878,0.0010809400118887424,0.47110617021098733,9.699306247057393e-08,True,1720,112.87011978402734,6299,4322,0.004806017886453233,1.1528047686870916e+157,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin0.0002
eig,ffd,0.0005,10,0.003275481917081609,0.008375427552293764,0.0022568151728812784,0.09541476693747963,0.12418022155761754,0.10146390715689924,0.0251325080025769,0.04863431468896161,0.024668115532576737,104.75302464701235,0.2736880070006009,105.02671265401295,27.624790884001413,0.17511723798816092,27.799908121989574,0.0008107429894153029,0.0010728079942055047,0.4506914899975527,8.003661378097604e-08,True,1123,104.75302464701235,7033,4038,0.005410390103914946,4.147519259198614e+126,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin0.0005
eig,ffd,0.001,9,0.0034143767539741984,0.008375427552293764,0.0022568151728812784,0.12929858393737703,0.12418022155761754,0.10146390715689924,0.025770696289704315,0.04863431468896161,0.024668115532576737,99.94767143810168,0.22935170121490955,100.17702313931659,28.41743701696396,0.17668569320812821,28.594122710172087,0.0008907327428460121,0.0010793572291731834,0.40801108023151755,9.557706448504177e-08,True,740,99.94767143810168,6871,3605,0.005045784690116106,4.4884534666148346e+100,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin0.001
eig,ffd,0.002,8,0.003673595260509214,0.008375427552293764,0.0022568151728812784,0.14638125256852552,0.12418022155761754,0.10146390715689924,0.02652649404563146,0.04863431468896161,0.024668115532576737,96.64334393013269,0.3022549753077328,96.94559890544042,30.266515974886715,0.20958175882697105,30.476097733713686,0.0010683508589863777,0.0010957918129861355,0.514004671946168,9.89716752997083e-08,True,513,96.64334393013269,6325,3053,0.004525647305995057,8.903427676373931e+74,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin0.002
eig,ffd,0.005,7,0.0043585474201563515,0.008375427552293764,0.0022568151728812784,0.17627909046504087,0.12418022155761754,0.10146390715689924,0.02988809725177681,0.04863431468896161,0.024668115532576737,93.15685852698516,0.27413545799208805,93.43099398497725,27.68887589100632,0.1757469680160284,27.864622859022347,0.0008444930135738105,0.0010756220144685358,0.4518052549974527,6.769677440843225e-08,True,334,93.15685852698516,4665,2047,0.006897973006115923,8.364465350199777e+44,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin0.005
eig,ffd,0.01,6,0.005389050520018488,0.008375427552293764,0.0022568151728812784,0.19360242856299292,0.12418022155761754,0.10146390715689924,0.03968232716631825,0.04863431468896161,0.024668115532576737,87.11879330221564,0.2755266991443932,87.39432000136003,27.96641350304708,0.17474174313247204,28.14115524617955,0.000893457792699337,0.0010884408839046955,0.4522537449374795,7.905443055733485e-08,True,194,87.11879330221564,2930,1147,0.008594400704289571,1.2085105735304839e+27,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin0.01
eig,ffd,0.02,5,0.007085465486983897,0.008375427552293764,0.0022568151728812784,0.19873309042623832,0.12418022155761754,0.10146390715689924,0.061638105738597376,0.04863431468896161,0.024668115532576737,80.55821571266279,0.22653790330514312,80.78475361596793,31.354017924983054,0.17625773884356022,31.530275663826615,0.000979017000645399,0.0010786568745970726,0.4048560578376055,9.406610956830264e-08,True,110,80.55821571266279,841,355,0.014036588191470004,203633728438502.34,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin0.02
eig,ffd,0.05,4,0.010909325625512733,0.008375427552293764,0.0022568151728812784,0.30808622964274424,0.12418022155761754,0.10146390715689924,0.12233643568095186,0.04863431468896161,0.024668115532576737,72.13104393598041,0.2626379639841616,72.39368189996458,27.45447661099024,0.17409147499711253,27.628568085987354,0.0008568720077164471,0.0010789869993459433,0.43867291999049485,5.992013640820915e-08,True,62,72.13104393598041,0,0,0.04953410877462545,36095.53484348105,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin0.05
eig,ffd,0.1,3,0.015134971959938607,0.008375427552293764,0.0022568151728812784,0.3610919513970474,0.12418022155761754,0.10146390715689924,0.1973028201077043,0.04863431468896161,0.024668115532576737,61.975724881049246,0.21200326038524508,62.18772814143449,28.013119073119015,0.17384134931489825,28.186960422433913,0.0008938577957451344,0.0010966942645609379,0.38783832639455795,5.936084157553978e-08,True,36,61.975724881049246,0,0,0.12037347707064498,7.887484045771231,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin0.1
