regime,description,aoa,drift,method,n_bands,mean,std,min,max
attached,attached oblique shock (validated),0.0,SBsquared_exact+ffd,BaryCDI,17,0.001730017239922567,0.0018311495841610702,0.0005332646309287824,0.00786861518720697
attached,attached oblique shock (validated),0.0,SBsquared_exact+ffd,FFD,17,0.0012436694996251338,0.0010758362766295265,0.00026859647742081844,0.0048123990884541236
attached,attached oblique shock (validated),0.0,SBsquared_exact+ffd,Linear,17,0.0021900095529288435,0.002721614074722704,0.00026859418133688473,0.010777575735795948
attached,attached oblique shock (validated),0.0,ffd,BaryCDI,17,0.0018182562010246187,0.0018912289138477976,0.0005051443877354661,0.007964854692589653
attached,attached oblique shock (validated),0.0,ffd,FFD,17,0.0012436694996251338,0.0010758362766295265,0.00026859647742081844,0.0048123990884541236
attached,attached oblique shock (validated),0.0,ffd,Linear,17,0.0021900095529288435,0.002721614074722704,0.00026859418133688473,0.010777575735795948
attached,attached oblique shock (validated),0.0,null,BaryCDI,17,0.0023425410387663153,0.0018089547411209396,0.0005366774383254029,0.007850205914553663
attached,attached oblique shock (validated),0.0,null,FFD,17,0.0012436694996251338,0.0010758362766295265,0.00026859647742081844,0.0048123990884541236
attached,attached oblique shock (validated),0.0,null,Linear,17,0.0021900095529288435,0.002721614074722704,0.00026859418133688473,0.010777575735795948
attached,attached oblique shock (validated),0.0,oblique,BaryCDI,17,0.0017245549668327771,0.0019270926117496256,0.00048199104273458554,0.008186462843331951
attached,attached oblique shock (validated),0.0,oblique,FFD,17,0.0012436694996251338,0.0010758362766295265,0.00026859647742081844,0.0048123990884541236
attached,attached oblique shock (validated),0.0,oblique,Linear,17,0.0021900095529288435,0.002721614074722704,0.00026859418133688473,0.010777575735795948
attached,attached oblique shock (validated),2.0,SBsquared_exact+ffd,BaryCDI,17,0.0019333655000033658,0.001946909573510812,0.000669619143603604,0.008231800500947885
attached,attached oblique shock (validated),2.0,SBsquared_exact+ffd,FFD,17,0.001312732810009794,0.0010449240311380524,0.0002839916480926512,0.004515085349867569
attached,attached oblique shock (validated),2.0,SBsquared_exact+ffd,Linear,17,0.0025255018118382783,0.003026179431487868,0.0002839888183299177,0.011736886801990828
attached,attached oblique shock (validated),2.0,ffd,BaryCDI,17,0.0020190307957404013,0.0020377394085776034,0.0005267967613843684,0.008357726750105703
attached,attached oblique shock (validated),2.0,ffd,FFD,17,0.001312732810009794,0.0010449240311380524,0.0002839916480926512,0.004515085349867569
attached,attached oblique shock (validated),2.0,ffd,Linear,17,0.0025255018118382783,0.003026179431487868,0.0002839888183299177,0.011736886801990828
attached,attached oblique shock (validated),2.0,null,BaryCDI,17,0.0020909325583108964,0.002063747243155924,0.000521472260260867,0.008356260940028979
attached,attached oblique shock (validated),2.0,null,FFD,17,0.001312732810009794,0.0010449240311380524,0.0002839916480926512,0.004515085349867569
attached,attached oblique shock (validated),2.0,null,Linear,17,0.0025255018118382783,0.003026179431487868,0.0002839888183299177,0.011736886801990828
attached,attached oblique shock (validated),2.0,oblique,BaryCDI,17,0.001923663900097047,0.00210890376321222,0.000495228208866891,0.008802931735811054
attached,attached oblique shock (validated),2.0,oblique,FFD,17,0.001312732810009794,0.0010449240311380524,0.0002839916480926512,0.004515085349867569
attached,attached oblique shock (validated),2.0,oblique,Linear,17,0.0025255018118382783,0.003026179431487868,0.0002839888183299177,0.011736886801990828
