axis,interval,lo,hi,mid,width,regime,aoa,h,drift,gamma,method,mean,std,max,ipfp_res,converged
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.016247576736567015,0.0036843077283509997,0.020105294847981403,9.681017942853032e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.010495363346332252,0.0023780582800099555,0.013185596388988542,9.681017942853032e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.026410086575178234,0.007292842451562363,0.0341461382033903,9.681017942853032e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,ffd,0.0001,BaryCDI,0.017586670870902318,0.0041919157179454445,0.022075688990321748,8.766767933821029e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,ffd,0.0001,FFD,0.010495363346332252,0.0023780582800099555,0.013185596388988542,8.766767933821029e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,ffd,0.0001,Linear,0.026410086575178234,0.007292842451562363,0.0341461382033903,8.766767933821029e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,null,0.0001,BaryCDI,0.01585348401837493,0.0036707240601071894,0.01986430844753096,9.570874226483284e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,null,0.0001,FFD,0.010495363346332252,0.0023780582800099555,0.013185596388988542,9.570874226483284e-08,True
mach,M1.10-1.20,1.1,1.2,1.15,0.1,detached,0.0,0.025,null,0.0001,Linear,0.026410086575178234,0.007292842451562363,0.0341461382033903,9.570874226483284e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.013098107733561742,0.0032502628276725775,0.0168250517064023,7.782253774735182e-08,True
