hmode,h,axis,aoa,mach0,mach1,n_cells,drift,gamma,n_stages,BaryCDI_l2_mean,Linear_l2_mean,FFD_l2_mean,BaryCDI_linf_max,Linear_linf_max,FFD_linf_max,BaryCDI_w2_mean,Linear_w2_mean,FFD_w2_mean,BaryCDI_cd_err_mean,Linear_cd_err_mean,FFD_cd_err_mean,BaryCDI_cl_err_mean,Linear_cl_err_mean,FFD_cl_err_mean,BaryCDI_cl_abs_max,Linear_cl_abs_max,FFD_cl_abs_max,cd_ref_mean,cl_ref_mean,ffd_backfilled,BaryCDI_l2band_mean,Linear_l2band_mean,FFD_l2band_mean,BaryCDI_dbeta_mean,Linear_dbeta_mean,FFD_dbeta_mean,BaryCDI_sharpness,Linear_sharpness,FFD_sharpness,BaryCDI_rh_mean,Linear_rh_mean,FFD_rh_mean,BaryCDI_offline_s,BaryCDI_recon_s,BaryCDI_total_s,FFD_offline_s,FFD_recon_s,FFD_total_s,Linear_recon_s,interp_setup_s,interp_s,ipfp_res,ipfp_res_l2,ipfp_converged,ipfp_iters,ipfp_time_s,gate_T,gate_S,disp_T,den_T_max,path
eig,0.025,mach,0.0,1.8,1.9,23548,SBsquared_exact+ffd,0.0001,8,0.005483099469759523,0.006111940380036422,0.0034085003268596965,0.40608151648923085,0.3959732532501221,0.4064901934255087,nan,nan,nan,0.0009350599956829255,0.000723007261232026,0.0012275738846598118,0.0005368094296048166,0.00027057334630694306,0.0006593129108660113,0.003438476635009411,0.0037104519301695087,0.003318696372891031,0.08537450839473235,0.0025772976030083946,,0.018790696017921972,0.02392847807161358,0.016705395333208917,nan,nan,nan,0.7356198566253156,0.9473895826249251,0.7533351215952694,nan,nan,nan,1859.7110661219922,0.5110145809594542,1860.2220807029516,0.010748723987489939,0.4378092940314673,0.4485580180189572,0.0010920180357061327,0.018758716993033886,0.9686768330284394,1.550617884760186e-06,5.643519145150177e-07,False,3235,1859.7110661219922,0,0,0.024286841025629592,8208431496005.45,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M1.80-1.90/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,1.9,2.0,23548,SBsquared_exact+ffd,0.0001,8,0.004018840815222387,0.004777764488118775,0.0029552558560744517,0.37199022139621407,0.3449802517890932,0.4448948178002695,nan,nan,nan,0.0006870054199965712,0.0002781203042832288,0.000569818352582944,0.0007237399363653902,0.00022942479697547362,0.0012362022216639112,0.0053262083224036244,0.005530893423178863,0.005126661289227454,0.07863133521688818,0.005018376648966553,,0.013923997953299547,0.015972340615512743,0.013383734081342545,nan,nan,nan,0.8248245892823081,1.0005664357969053,0.7292128053676212,nan,nan,nan,796.2539582112804,0.44943022076040506,796.7033884320408,0.008856098167598248,0.3942130245268345,0.40306912269443274,0.0010159006342291832,0.019151792861521244,0.8638132931664586,2.0311291031305245e-06,5.971927397894177e-07,False,3202,796.2539582112804,0,0,0.008621094286711393,2292620.9631717154,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M1.90-2.00/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,2.0,2.1,23548,SBsquared_exact+ffd,0.0001,8,0.0063981706434017155,0.0054225308689139625,0.00648855649736984,1.402233194753036,0.6713736489415169,1.012003886236983,nan,nan,nan,0.013640824787049734,0.003969712926709291,0.003713337151868575,0.0026994988628477553,0.0015768844119595613,0.0019609734298914566,0.005214701141865601,0.005530940431691921,0.005079423475840697,0.08404322062889444,0.00430398665330389,,0.030625689115493612,0.02964305529111307,0.03704934302637167,nan,nan,nan,0.5701681155815388,0.7730521928332327,0.6747769983829787,nan,nan,nan,874.8510708222166,0.4406566210091114,875.2917274432257,0.010188932064920664,0.38847959600389004,0.3986685280688107,0.0006242007948458195,0.017488008830696344,0.8472514096647501,1.322250398061442e-07,3.582588998789758e-08,False,3086,874.8510708222166,0,0,0.05036786048314448,1.7679805542428288e+28,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M2.00-2.10/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,2.1,2.2,23548,SBsquared_exact+ffd,0.0001,8,0.0040579123078591205,0.0037368970013583764,0.0029594571066217145,0.9933730720615919,0.8750494778156281,0.8540023765583962,nan,nan,nan,0.011034432164665483,0.0004691653697344311,0.0004978366193309784,0.0033404323155681722,0.0016521043121605272,0.002230273083165716,0.0052901558292321234,0.006517725092787959,0.006154509546872214,0.08670235177132207,0.006969910914451998,,0.021537698212625276,0.018983298846759884,0.017964008721896844,nan,nan,nan,0.6775959575249461,0.8633783628645161,0.8492344722684776,nan,nan,nan,969.1007527783513,0.43754824390634894,969.5383010222577,27.284378682728857,0.3823709390126169,27.666749621741474,0.0002457411028444767,0.018435182981193066,0.8386025698855519,5.382807975351511e-06,1.921846660533512e-06,False,3674,969.1007527783513,0,0,0.040709868097985547,266722.63408002426,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M2.10-2.20/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,2.2,2.3,23548,SBsquared_exact+ffd,0.0001,8,0.004846001266993944,0.002605523954210225,0.0028319564118908878,1.3183230439063136,0.40266804695129377,0.5157102464503314,nan,nan,nan,0.012272827580652871,0.00014648248240959092,0.00045478367065041357,0.002777006329609251,0.0004187146507091942,0.0016875653094655658,0.005031429699275548,0.007457386512014414,0.006291157376525679,0.08362252712638468,0.0069628282429214355,,0.026821806823421574,0.006594855496488351,0.012364601307054766,nan,nan,nan,0.6338883599161214,0.9932496330870492,0.7136231847325407,nan,nan,nan,798.9516685362905,0.44181390199810266,799.3934824382886,30.180109253618866,0.3858089982531965,30.565918251872063,0.0010003498755395412,0.017635345924645662,0.8462634729221463,9.728933036967646e-08,3.713882034223908e-08,True,3126,798.9516685362905,0,0,0.06034045890546504,2990664.9616360264,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M2.20-2.30/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,2.3,2.4,23548,SBsquared_exact+ffd,0.0001,8,0.0026662232131149013,0.0018929661707917439,0.0018111706042854446,0.6422210678819005,0.09980418682098424,0.16243405080452522,nan,nan,nan,0.0006294022356690318,9.085157435999303e-05,0.0007117000311400877,0.0014282242857118189,0.0001066260988286508,0.0011545309516809924,0.007953339328530488,0.00876171863955074,0.008260534314927646,0.08106893552139874,0.008387899900902305,,0.011971850919009049,0.004184887059432906,0.0066745849045416715,nan,nan,nan,0.8832989744421247,0.9951755272529581,0.970675329452795,nan,nan,nan,1538.7869140260154,0.47455681301653385,1539.261470839032,36.567985164991114,0.41143745597219095,36.979422620963305,0.0003722169785760343,0.019711031985934824,0.9060793810058385,2.5748364617328434e-05,7.0668583018783066e-06,False,3176,1538.7869140260154,0,0,0.003583822530845325,7716.47986536907,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M2.30-2.40/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,2.4,2.5,23548,SBsquared_exact+ffd,0.0001,8,0.002842968569107668,0.001440097699525693,0.0016184212894700001,0.9702550880569714,0.153633713722229,0.21979098986325818,nan,nan,nan,0.0009879045225075597,0.0003315946024186796,0.0002454264131031913,0.0032319985791015456,0.0004011595603640153,0.0017309640343625464,0.008260777902420685,0.009678528660855695,0.00900347428728603,0.07950355921433928,0.009732829617564685,,0.01449220316069861,0.0037174710797485016,0.0055774207713309145,nan,nan,nan,0.8004468400966078,1.0464977138967224,0.9255227108392846,nan,nan,nan,1547.892642681487,0.48599463887512684,1548.378637320362,39.732208428904414,0.422830487601459,40.15503891650587,0.0004707826301455498,0.01969816256314516,0.9289999725297093,8.432111452449931e-05,2.814496958839122e-05,False,3387,1547.892642681487,0,0,0.014786862097074796,1604.2399299125723,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M2.40-2.50/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,2.5,2.6,23548,SBsquared_exact+ffd,0.0001,8,0.003068822089125547,0.001327092010334764,0.00153529727012844,1.6727866973724483,0.13075394630432124,0.3542543373145719,nan,nan,nan,0.0029195876396240633,0.00023016241640120652,0.00047699277800119296,0.0026835574423315794,0.0004022947341235444,0.001253907411518831,0.008169285446940119,0.00954584087264791,0.008714705718529722,0.07849810795467219,0.008328256821915243,,0.01702411771038574,0.0031531496666385036,0.0059777900204535375,nan,nan,nan,0.5688877290687554,0.9973900450641393,0.85649294116464,nan,nan,nan,840.4248209521174,0.43462470918893814,840.8594456613064,29.1200630068779,0.38294294010847807,29.503005946986377,0.0010316572152078152,0.01847323076799512,0.8370749107562006,2.4202115405103086e-06,7.852941598141414e-07,False,3787,840.4248209521174,0,0,0.022362640961040972,1888.636747080697,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M2.50-2.60/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,2.6,2.7,23548,SBsquared_exact+ffd,0.0001,8,0.0025889767794515187,0.0011827071554286006,0.001776440233557941,0.8644318053575715,0.137337017059326,0.6118797774809024,nan,nan,nan,0.0016972840236494924,7.904633389177617e-05,0.0011179931038266349,0.0027845207649595375,0.00012958774378914339,0.0008982996274185845,0.0075017059524899,0.009035537572645679,0.008380301676338962,0.07695680231117681,0.008352429290458012,,0.013798290797329948,0.00211248338829067,0.009820792787929947,nan,nan,nan,0.6973713151786219,0.9961751366067619,0.6916827571881513,nan,nan,nan,857.8800247181207,0.4362774407491088,858.3163021588698,27.961481851991266,0.3844167487695813,28.345898600760847,0.00030817463994026184,0.017634364776313305,0.8386392728425562,7.857976892822194e-05,2.4610202145709344e-05,False,3808,857.8800247181207,0,0,0.007195318874173276,1541.7130420797985,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M2.60-2.70/drift_SBsquared_exact+ffd/gmin0.0001
eig,0.025,mach,0.0,2.7,2.8,23548,SBsquared_exact+ffd,0.0001,8,0.007422537620754029,0.005920947177049742,0.006154985946095711,2.199010811943274,2.0625467598438267,2.2954989934173304,nan,nan,nan,0.005582552722593759,0.002935581070613583,0.006179780882266734,0.01139512379526235,0.005766623451982331,0.005640508505206464,0.00409282948229019,0.00818762129727204,0.008505037288739086,0.07619629039920942,0.010222442158535218,,0.03522484337899107,0.02768547012560233,0.03565749161674555,nan,nan,nan,0.4967648433729819,0.8397993726170435,0.7010005100656226,nan,nan,nan,770.8811463946477,0.6885467311367393,771.5696931257844,28.574536940082908,0.6371353715658188,29.211672311648726,0.0009644338861107826,0.03213409800082445,1.3587843794375658,2.3115555794817055e-05,8.292759402696466e-06,False,3991,770.8811463946477,0,0,0.04440305463480958,3875125.312938358,outputs/Mach_interpolation/naca0012/iso/hessian/eig/h0.025/M2.70-2.80/drift_SBsquared_exact+ffd/gmin0.0001
