axis,interval,lo,hi,mid,width,regime,aoa,h,drift,gamma,method,mean,std,max,ipfp_res,converged
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,null,0.01,BaryCDI,0.01967749668723994,0.006752345200205834,0.028426596871085993,9.421407032306206e-08,True
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,null,0.01,FFD,0.0013788877627913282,0.0003961000283964616,0.0018244652928750616,9.421407032306206e-08,True
aoa,A0.00-1.00,0.0,1.0,0.5,1.0,-,0.0,0.025,null,0.01,Linear,0.0004977931285956346,0.00013426187283774725,0.0006756924378027331,9.421407032306206e-08,True
