regime,description,aoa,drift,method,n_bands,mean,std,min,max
attached,attached oblique shock (validated),2.0,SBsquared_exact+ffd,Linear,17,0.007043086101836399,0.006065833046684741,0.0011202049327288172,0.022672782106855773
attached,attached oblique shock (validated),2.0,ffd,BaryCDI,17,0.006986213690858255,0.0034786874662640554,0.0027209030245289832,0.014348685690653241
attached,attached oblique shock (validated),2.0,ffd,FFD,17,0.00433135216332118,0.002342601089535129,0.0014079374380853112,0.010085507926687639
attached,attached oblique shock (validated),2.0,ffd,Linear,17,0.007043086101836399,0.006065833046684741,0.0011202049327288172,0.022672782106855773
attached,attached oblique shock (validated),2.0,null,BaryCDI,17,0.006563777599994636,0.00402701312603554,0.0019904118535858744,0.016484291424726207
attached,attached oblique shock (validated),2.0,null,FFD,17,0.004333748889014459,0.0023440146618800765,0.0014079374380853112,0.010085507926687639
attached,attached oblique shock (validated),2.0,null,Linear,17,0.007043086101836399,0.006065833046684741,0.0011202049327288172,0.022672782106855773
detached,detached bow shock,2.0,SBsquared_exact+ffd,BaryCDI,2,0.02009157981362748,0.003399216753807447,0.016692363059820033,0.023490796567434927
detached,detached bow shock,2.0,SBsquared_exact+ffd,FFD,2,0.010778418086289415,7.596141607458824e-05,0.010702456670214825,0.010854379502364002
detached,detached bow shock,2.0,SBsquared_exact+ffd,Linear,2,0.027963130717469427,0.001561998220370191,0.026401132497099238,0.02952512893783962
detached,detached bow shock,2.0,ffd,BaryCDI,2,0.021024386927428196,0.0030378040914103965,0.017986582836017798,0.02406219101883859
detached,detached bow shock,2.0,ffd,FFD,2,0.010791568753644315,2.5128453045327077e-05,0.010766440300598987,0.010816697206689641
detached,detached bow shock,2.0,ffd,Linear,2,0.027963130717469427,0.001561998220370191,0.026401132497099238,0.02952512893783962
detached,detached bow shock,2.0,null,BaryCDI,2,0.019723105034856418,0.003679545227912768,0.01604355980694365,0.023402650262769185
detached,detached bow shock,2.0,null,FFD,2,0.010810409901481494,4.396960088250742e-05,0.010766440300598987,0.010854379502364002
detached,detached bow shock,2.0,null,Linear,2,0.027963130717469427,0.001561998220370191,0.026401132497099238,0.02952512893783962
subsonic,no shock,2.0,SBsquared_exact+ffd,BaryCDI,2,0.02030241913873496,0.00016265814205225493,0.020139760996682705,0.020465077280787215
subsonic,no shock,2.0,SBsquared_exact+ffd,FFD,2,0.0157172084562554,0.0064999517019995,0.009217256754255903,0.022217160158254902
subsonic,no shock,2.0,SBsquared_exact+ffd,Linear,2,0.027101447846366117,0.0022260264660737637,0.02487542138029235,0.02932747431243988
subsonic,no shock,2.0,ffd,BaryCDI,2,0.020685548370471714,6.720672407672067e-05,0.02061834164639499,0.020752755094548433
subsonic,no shock,2.0,ffd,FFD,2,0.015717208454036024,0.0064999516997801205,0.009217256754255903,0.022217160153816144
subsonic,no shock,2.0,ffd,Linear,2,0.027101447846366117,0.0022260264660737637,0.02487542138029235,0.02932747431243988
subsonic,no shock,2.0,null,BaryCDI,2,0.02082929720939021,0.00032421402718711863,0.02050508318220309,0.021153511236577327
subsonic,no shock,2.0,null,FFD,2,0.015717208454036024,0.0064999516997801205,0.009217256754255903,0.022217160153816144
subsonic,no shock,2.0,null,Linear,2,0.027101447846366117,0.0022260264660737637,0.02487542138029235,0.02932747431243988
